"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*01sb3*","Zack Wheeler","PHI","SP","81","KRetiree","Active","36","201","20.1","99%","0%","62.2","2.01","62","6","14","38","15","0","0","8","2","10"
"*04pxf*","Davis Martin","CHW","SP","83","KRetiree","Active","29","200","14.29","93%","0%","81.2","3.31","83","9","30","77","20","0","0","9","4","14"
"*03pjf*","Michael Soroka","ARI","SP","84","kyfaess","Active","28","200","13.33","92%","0%","82","3.07","79","8","28","72","17","0","0","7","5","15"
"*0596g*","Reid Detmers","LAA","SP,RP","86","Coop","Active","26","197","13.13","91%","+1%","88","3.68","100","3","36","64","24","0","0","7","4","15"
"*05y62*","Bryan Woo","SEA","SP","88","Hutch","Active","26","197","13.13","100%","0%","89","3.94","88","6","39","73","16","0","0","9","3","15"
"*029si*","Eduardo Rodriguez","ARI","SP","89","zyoung51","Active","33","197","13.13","88%","0%","88.1","2.45","65","6","24","74","35","0","0","8","0","15"
"*04n0m*","Logan Gilbert","SEA","SP","90","KRetiree","Active","29","197","13.13","100%","0%","86.2","3.43","92","5","33","69","20","0","0","6","5","15"
"*04o2w*","Ben Brown","CHC","SP,RP","91","GoldTY","Active","26","197","9.85","84%","0%","68","1.85","65","4","14","45","19","1","2","3","2","20"
"*05jp9*","Bryce Elder","ATL","SP","97","Sethmc44","Active","27","193","12.87","90%","-1%","88.2","3.15","73","5","31","74","27","0","0","10","2","15"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","100","Sethmc44","Active","25","190","14.62","87%","0%","79.1","2.72","50","8","24","64","16","0","0","8","2","13"
"*03caf*","Foster Griffin","WSH","SP,RP","104","Coop","Active","30","188","12.53","88%","0%","84","3.32","80","7","31","70","23","0","0","7","7","15"
"*0510l*","Emerson Hancock","SEA","SP","101","CLANK","Active","27","187","12.47","89%","0%","85","3.60","81","5","34","68","19","0","0","8","4","15"
"*05y7s*","Nolan McLean","NYM","SP","114","joeybats","Active","24","182","12.13","99%","0%","83.1","3.67","97","4","34","59","32","0","0","7","9","15"
"*03div*","Jake Latz","TEX","SP,RP","124","GoldTY","Active","30","179","6.39","80%","+2%","35.2","1.51","36","1","6","14","7","13","2","0","0","28"
"*02c4q*","Nick Martinez","TB","SP,RP","128","Kipp","Active","35","177","12.64","90%","0%","83","2.60","50","6","24","82","14","0","0","8","2","14"
